code,county,income,arrivals
01,STOCKHOLMS LÄN,26083.3333333,6152.0
03,UPPSALA LÄN,24258.3333333,1281.0
04,SÖDERMANLANDS LÄN,23708.3333333,2185.0
05,ÖSTERGÖTLANDS LÄN,23491.6666667,2144.0
06,JÖNKÖPINGS LÄN,24408.3333333,2622.0
07,KRONOBERGS LÄN,23875.0,1647.0
08,KALMAR LÄN,23675.0,2301.0
09,GOTLANDS LÄN,22058.3333333,101.0
10,BLEKINGE LÄN,23733.3333333,1656.0
12,SKÅNE LÄN,22766.6666667,6154.0
13,HALLANDS LÄN,24791.6666667,1646.0
14,VÄSTRA GÖTALANDS LÄN,24183.3333333,7914.0
17,VÄRMLANDS LÄN,23166.6666667,1827.0
18,ÖREBRO LÄN,23658.3333333,2114.0
19,VÄSTMANLANDS LÄN,24258.3333333,1856.0
20,DALARNAS LÄN,23966.6666667,2304.0
21,GÄVLEBORGS LÄN,23741.6666667,2624.0
22,VÄSTERNORRLANDS LÄN,24383.3333333,1772.0
23,JÄMTLANDS LÄN,22950.0,1001.0
24,VÄSTERBOTTENS LÄN,23850.0,1027.0
25,NORRBOTTENS LÄN,25108.3333333,869.0
